Version, Width, Height, Processes, Reps, Mean, Standard Deviation, Pixels Per Second, 5th Percentile, 25th Percentile, 50th Percentile, 75th Percentile, 95th Percentile
2.1.2, 1920, 1080, 8, 50, 3.118562, 0.119644, 664922, 3.046086, 3.079606, 3.093153, 3.105506, 3.291528
2.1.2, 2560, 1440, 8, 50, 5.517680, 0.200935, 668107, 5.410898, 5.434948, 5.467767, 5.500957, 5.840086
2.1.2, 3840, 2160, 8, 50, 12.946831, 0.461394, 640651, 12.617908, 12.715837, 12.775408, 12.867463, 13.980859
2.1.6, 1920, 1080, 1, 50, 7.787272, 0.062084, 266281, 7.685953, 7.750503, 7.785789, 7.832892, 7.867707
2.1.6, 1920, 1080, 2, 50, 4.440365, 0.074532, 466989, 4.358263, 4.399519, 4.42255, 4.460901, 4.605544
2.1.6, 1920, 1080, 4, 50, 2.933755, 0.075646, 706808, 2.822963, 2.885366, 2.937031, 2.978759, 3.061584
2.1.6, 1920, 1080, 6, 50, 2.71857, 0.034222, 762754, 2.662105, 2.696665, 2.719267, 2.740145, 2.768389
2.1.6, 1920, 1080, 8, 50, 2.626134, 0.04888, 789602, 2.577756, 2.602391, 2.613868, 2.63659, 2.688531
2.1.6, 1920, 1080, 10, 50, 2.707018, 0.025279, 766009, 2.668185, 2.687788, 2.706853, 2.724327, 2.746397
2.1.6, 1920, 1080, 12, 50, 2.701391, 0.027353, 767605, 2.661767, 2.674727, 2.704844, 2.719376, 2.751694
2.1.6, 1920, 1080, 14, 50, 2.728354, 0.033808, 760019, 2.665302, 2.708081, 2.728199, 2.752331, 2.777796
2.1.6, 1920, 1080, 16, 50, 2.807813, 0.041508, 738511, 2.729196, 2.782424, 2.80797, 2.842377, 2.868932
2.1.6, 2560, 1440, 1, 50, 13.918792, 0.082959, 264851, 13.797576, 13.854435, 13.908344, 13.968399, 14.065571
2.1.6, 2560, 1440, 2, 50, 7.823811, 0.093310, 471177, 7.729316, 7.761549, 7.806039, 7.842613, 8.040166
2.1.6, 2560, 1440, 4, 50, 5.233325, 0.091867, 704409, 5.077997, 5.165326, 5.237823, 5.315070, 5.363443
2.1.6, 2560, 1440, 6, 50, 4.853986, 0.050964, 759458, 4.779617, 4.815407, 4.856345, 4.890003, 4.933666
2.1.6, 2560, 1440, 8, 50, 4.667789, 0.191232, 789753, 4.552978, 4.581352, 4.617143, 4.650079, 5.105286
2.1.6, 2560, 1440, 10, 50, 4.788607, 0.037530, 769827, 4.731041, 4.759762, 4.791685, 4.819600, 4.842814
2.1.6, 2560, 1440, 12, 50, 4.781752, 0.045741, 770931, 4.702924, 4.753884, 4.784058, 4.815278, 4.854441
2.1.6, 2560, 1440, 14, 50, 4.866670, 0.059165, 757479, 4.774654, 4.820297, 4.870816, 4.904486, 4.960975
2.1.6, 2560, 1440, 16, 50, 4.928023, 0.045536, 748048, 4.863895, 4.896049, 4.927022, 4.961718, 5.001086
2.1.6, 3840, 2160, 1, 50, 31.990934, 0.252815, 259273, 31.696402, 31.854336, 31.930302, 32.092255, 32.427803
2.1.6, 3840, 2160, 2, 50, 18.116203, 0.252954, 457844, 17.889277, 17.992426, 18.039761, 18.172464, 18.772135
2.1.6, 3840, 2160, 4, 50, 12.174422, 0.169748, 681297, 11.873154, 12.058945, 12.171755, 12.321567, 12.408263
2.1.6, 3840, 2160, 6, 50, 11.317244, 0.118584, 732899, 11.136194, 11.244856, 11.308834, 11.375768, 11.525029
2.1.6, 3840, 2160, 8, 50, 11.056843, 0.526449, 750160, 10.735888, 10.798233, 10.862742, 10.922080, 12.035710
2.1.6, 3840, 2160, 10, 50, 11.139451, 0.110861, 744597, 10.998227, 11.071901, 11.123629, 11.196903, 11.285419
2.1.6, 3840, 2160, 12, 50, 11.171975, 0.114835, 742429, 11.045906, 11.092299, 11.153866, 11.208157, 11.392701
2.1.6, 3840, 2160, 14, 50, 11.287490, 0.173047, 734831, 11.078148, 11.189871, 11.243799, 11.356442, 11.677988
2.1.6, 3840, 2160, 16, 50, 11.350925, 0.159736, 730725, 11.168186, 11.249301, 11.341359, 11.394922, 11.545953
